iter	Passed	Remaining
0	3	379
1	7	351
2	10	337
3	13	315
4	16	316
5	20	317
6	23	315
7	27	311
8	30	305
9	33	303
10	37	300
11	40	298
12	43	293
13	47	289
14	50	285
15	53	280
16	56	275
17	59	271
18	62	266
19	65	262
20	68	257
21	71	253
22	74	249
23	77	244
24	80	240
25	83	236
26	86	232
27	88	228
28	91	225
29	94	221
30	97	218
31	100	214
32	103	210
33	106	207
34	109	203
35	112	200
36	115	196
37	118	193
38	121	190
39	124	186
40	127	182
41	128	177
42	131	173
43	134	171
44	137	168
45	140	164
46	143	161
47	146	158
48	150	156
49	153	153
50	156	150
51	159	147
52	163	144
53	166	141
54	168	137
55	171	134
56	174	131
57	177	128
58	180	125
59	182	121
60	185	118
61	188	115
62	191	112
63	194	109
64	197	106
65	200	103
66	203	100
67	206	97
68	209	94
69	212	90
70	215	87
71	218	84
72	220	81
73	223	78
74	226	75
75	229	72
76	232	69
77	235	66
78	238	63
79	241	60
80	244	57
81	246	54
82	249	51
83	252	48
84	255	45
85	258	42
86	261	39
87	264	36
88	267	33
89	270	30
90	273	27
91	276	24
92	279	21
93	282	18
94	285	15
95	287	11
96	291	9
97	293	5
98	296	2
99	299	0
